"year","r_aer_all","rfc_BC","rfc_cloud","rfc_NO3","rfc_POA","rfc_SO4","rfc_SOA"
1959,-0.158851464452384,0.0257726897109016,-0.127561855042562,-0.00642543908328172,-0.00274995161867877,-0.045300581599566,-0.000544412703741054
1960,-0.165058368025967,0.0266953508978855,-0.132349437570213,-0.00662397834973188,-0.00277859808595012,-0.0473256011448362,-0.000558763853157497
1961,-0.170928546277101,0.0275219798003041,-0.136773216189064,-0.00687433412923925,-0.00291779694404671,-0.0490646201997626,-0.000574930159508188
1962,-0.176941351919001,0.0282831159056805,-0.141239062556242,-0.00719071769252718,-0.00310628237816802,-0.0507706388503409,-0.000590222583936096
1963,-0.183199112175665,0.0288865295238334,-0.14555703202895,-0.00753233437155673,-0.00325721435084492,-0.0526736461172418,-0.000598707037541473
1964,-0.188498833293749,0.0290699703535994,-0.148778986951896,-0.00784175272665136,-0.0031906435576698,-0.0547368327484655,-0.000593724051464753
1965,-0.193827448311994,0.029144205205807,-0.151807956463045,-0.00818051269573064,-0.00305481941613618,-0.0568645758240125,-0.000589008692723926
1966,-0.200008566304717,0.0295252252785286,-0.155795210384204,-0.00861663812107545,-0.00304835978248004,-0.0589503210505248,-0.000597776952896287
1967,-0.206905897183587,0.0301836268318175,-0.160520326577276,-0.0091134433581481,-0.00313245806572998,-0.0610145640542598,-0.00061670689429313
1968,-0.214032888369806,0.0308047215706797,-0.165306281880141,-0.00958952448434256,-0.00310594598585908,-0.0633604542322058,-0.000636098584430202
1969,-0.221317677854611,0.0313849389039321,-0.170144894740844,-0.0100305547661739,-0.00298382116162442,-0.0660369085493806,-0.000655628722566184
1970,-0.228373423420728,0.0320369884157887,-0.174957370753402,-0.0104503767370511,-0.00295361355175296,-0.0684638523865559,-0.000678040091394712
1971,-0.235354804328062,0.0329597238333142,-0.180221131779341,-0.0109021314840265,-0.00313226414332933,-0.0704068485576745,-0.000704479927402124
1972,-0.243219018256473,0.0340990479957788,-0.186266423590381,-0.0113766124238754,-0.00338424854314266,-0.0725830182629503,-0.000730885783618724
1973,-0.250600849543986,0.035039872029891,-0.191689448231128,-0.011786767361106,-0.00340803813690922,-0.0749731369448031,-0.000749113042776428
1974,-0.256386014464333,0.0358116006037444,-0.195908768557175,-0.0121354207118851,-0.00330850030747555,-0.076915053469163,-0.000762382808982754
1975,-0.262147044987061,0.0366932337169455,-0.200306743792707,-0.0125045843490981,-0.00329440768258679,-0.0786961296625712,-0.000775483756471127
1976,-0.269617871043301,0.0378720544499736,-0.206097605794833,-0.0129432352635716,-0.00341343574623614,-0.0808648278794818,-0.000790946365629594
1977,-0.277915222066681,0.039323442345334,-0.212737626453152,-0.0134319718055186,-0.00358846766620375,-0.0831538193116249,-0.000810470253829522
1978,-0.286083721652945,0.0408332736343402,-0.219349101718517,-0.013932311754192,-0.00377536897023754,-0.0852585505640543,-0.000833958428905183
1979,-0.293216094816229,0.0420845026386009,-0.224994674680291,-0.0143962972798838,-0.00393183227945625,-0.0871633644654886,-0.000858910360077463
1980,-0.298161106531711,0.0428519320268976,-0.228733263849689,-0.0147720368497401,-0.00401276453543459,-0.0884418503375914,-0.000881793587102895
1981,-0.301923557742759,0.0436414900370488,-0.231981313725462,-0.01512451646713,-0.0042348623770298,-0.0890466047433622,-0.000908540552083183
1982,-0.305100169247588,0.0445053676045525,-0.234958472235753,-0.0154639764523172,-0.0045103230175422,-0.0892589837215547,-0.000934495247668687
1983,-0.30670354648614,0.0450174042123684,-0.236621585937022,-0.0157322848541777,-0.00444926392477793,-0.0894736071289543,-0.000942056443946557
1984,-0.308794920018885,0.0456867478540685,-0.23876444514286,-0.0160263997503668,-0.0043711295438627,-0.0898751120832277,-0.000943643464790377
1985,-0.312037666744609,0.0467208271728761,-0.242090182320008,-0.0163762037723527,-0.00446057552482441,-0.0903617307588179,-0.000954246080515107
1986,-0.316075614925224,0.0479442233969091,-0.246123502875454,-0.0167673985297749,-0.00463994800182113,-0.0909961234661008,-0.000975866214005657
1987,-0.321435247989388,0.0494344318932268,-0.251250023655863,-0.0172201927641366,-0.00491166476897406,-0.0919001919801347,-0.00100354952536086
1988,-0.326520085328129,0.0509320735527458,-0.256202900437811,-0.0176729389148603,-0.00508066112065844,-0.0927762909011378,-0.00103005891237246
1989,-0.330492354532763,0.0521936072733343,-0.260269998270384,-0.018056334518333,-0.00512977894254804,-0.0935076081663936,-0.00105713356300741
1990,-0.336054984475014,0.0539552883987185,-0.265999154709099,-0.018489856994819,-0.00566143119229459,-0.0940581428378884,-0.00110415390352778
1991,-0.341168383092455,0.0557185978732642,-0.271291334354472,-0.0189121847772323,-0.00634804823569388,-0.0941832486250553,-0.00115230988104447
1992,-0.341051430916529,0.0562599291496638,-0.27219894709327,-0.0191167838492371,-0.00624181680503265,-0.0937359962403262,-0.00115744344988666
1993,-0.340926459715097,0.0570318123884034,-0.273320783003143,-0.0193522992716674,-0.00626578633791659,-0.0930232590733372,-0.00115303054420211
1994,-0.343071367703779,0.0586674762820816,-0.276989770237945,-0.0197243387671362,-0.00675898192668676,-0.0922205834303478,-0.0011717380339011
1995,-0.343518273936343,0.0599252688995578,-0.279081572796244,-0.0200400736966247,-0.00681451659845554,-0.0914079402537716,-0.00119004994663898
1996,-0.345478263050281,0.0612074203543585,-0.282162939222618,-0.0204102505084351,-0.00716068514129875,-0.0908683417597705,-0.00123147699085825
1997,-0.352449892641237,0.0635558685013033,-0.289433752383293,-0.0209820634471577,-0.00845770560065581,-0.0905954686381719,-0.00130065959138982
1998,-0.356292554395297,0.0653459688953153,-0.294386069765096,-0.0214309557675254,-0.00917721279371787,-0.0901419720694592,-0.00133932289219765
1999,-0.352574472900087,0.0649423519308626,-0.291604685584289,-0.0215290506687108,-0.00853030624263089,-0.0892493020532914,-0.00134432999156571
2000,-0.346955132370684,0.0637014480992169,-0.28651413320662,-0.0214961269837439,-0.00751246413515663,-0.0884329546394399,-0.00135055477877873
2001,-0.344911861891069,0.0634422918916824,-0.285098176374105,-0.0216146402461504,-0.00719201465721116,-0.0878344117244725,-0.0013749582372615
2002,-0.347428331446361,0.0643843233086694,-0.287938987981778,-0.0218947728769792,-0.00773569518394257,-0.0875330230087721,-0.00141530710861378
2003,-0.351637325700064,0.0657072775815035,-0.29216446823321,-0.0222290697547301,-0.00823888832505279,-0.0878090818128195,-0.00145149645539535
2004,-0.35572969249829,0.067009443672697,-0.296295244926963,-0.0225824109400615,-0.00825926998736991,-0.0886574478531087,-0.00147974504228164
2005,-0.360109482104373,0.0682551093778764,-0.30052232979295,-0.0229200096608377,-0.00827369825158235,-0.089665749440886,-0.00150924438488188
2006,-0.364142396432538,0.0695078686540689,-0.304528677992401,-0.0232643790756066,-0.00841886194929743,-0.0903412840990187,-0.00153782212420172
